loc,blank_lines,comment_lines,avg_line_length,max_nesting_depth,num_keys,file_size_bytes,token_count,num_commits,num_authors,file_age_days,last_modified_days,edit_frequency,is_recently_active,stability_score,churn_total,churn_avg,loc_growth_rate,churn_volatility,num_resources,num_variables,num_dependencies,num_modules,dependency_ratio,has_hardcoded_secret,has_version_pinning,uses_latest_tag,num_anti_patterns,has_error_handling,has_idempotency_check,has_privilege_escalation,template_complexity,num_conditionals,num_loops,repo,tool,filepath,is_defect
21,5,10,27.26923076923077,4,9,735,85,3,1,2144,2144,0.041977611940298504,0,0,6.300000000000001,2.1,0.009794776119402986,1.05,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ansible/ansible-examples,ansible,.github/workflows/main.yml,0
30,3,1,26.666666666666668,3,24,913,101,4,3,3601,2805,0.03332407664537629,0,596,12.0,3.0,0.00833101916134407,1.5,3,13,0,0,0.0,0,0,0,0,0,0,0,13,0,1,ansible/ansible-examples,ansible,jboss-standalone/demo-aws-launch.yml,1
7,2,3,17.77777777777778,2,1,169,25,5,3,3972,2805,0.0377643504531722,0,851,3.5,0.7,0.0017623363544813696,0.35,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ansible/ansible-examples,ansible,jboss-standalone/deploy-application.yml,1
21,3,0,23.208333333333332,2,16,581,58,8,2,3972,2805,0.060422960725075525,0,1167,16.8,2.1,0.005287009063444109,1.05,4,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ansible/ansible-examples,ansible,jboss-standalone/roles/java-app/tasks/main.yml,1
9,1,0,14.1,2,6,151,19,3,3,4729,2805,0.019031507718333687,0,1016,2.7,0.9,0.0019031507718333686,0.45,2,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ansible/ansible-examples,ansible,jboss-standalone/roles/jboss-standalone/handlers/main.yml,0
85,15,1,21.5,2,62,2250,252,19,6,4729,2805,0.12053288221611334,0,728,161.5,8.5,0.017974201733981815,4.25,15,4,2,0,0.13333333333333333,0,1,0,0,1,1,0,4,4,2,ansible/ansible-examples,ansible,jboss-standalone/roles/jboss-standalone/tasks/main.yml,1
5,2,1,14.571428571428571,2,1,109,16,6,6,4729,3609,0.038063015436667375,0,712,3.0,0.5,0.0010573059843518714,0.25,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ansible/ansible-examples,ansible,jboss-standalone/site.yml,0
70,6,2,32.71052631578947,3,60,2562,270,3,1,3601,3601,0.024993057484032213,0,0,21.0,7.0,0.019439044709802834,3.5,6,43,0,0,0.0,0,0,0,0,0,0,0,43,0,1,ansible/ansible-examples,ansible,lamp_haproxy/aws/demo-aws-launch.yml,0
22,3,1,16.44,2,13,436,61,3,3,3601,2805,0.024993057484032213,0,735,6.6000000000000005,2.2,0.006109414051652319,1.1,3,1,0,0,0.0,0,0,0,0,0,0,0,1,1,1,ansible/ansible-examples,ansible,lamp_haproxy/aws/roles/base-apache/tasks/main.yml,1
6,2,1,19.625,1,2,165,20,1,1,3601,3601,0.008331019161344072,0,0,0.6000000000000001,0.6000000000000001,0.0016662038322688142,0.30000000000000004,2,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ansible/ansible-examples,ansible,lamp_haproxy/aws/roles/common/handlers/main.yml,0
