repo,tool,filepath,is_defect,touch_count
ansible/ansible-examples,ansible,.github/main.yml,0,1
ansible/ansible-examples,ansible,.github/workflows/main.yml,0,2
ansible/ansible-examples,ansible,apache/roles/apache/handlers/main.yml,0,1
ansible/ansible-examples,ansible,apache/roles/apache/tasks/deploy_site.yml,0,1
ansible/ansible-examples,ansible,apache/roles/apache/tasks/install_apache.yml,0,1
ansible/ansible-examples,ansible,apache/roles/apache/tasks/main.yml,0,1
ansible/ansible-examples,ansible,apache/roles/common/handlers/main.yml,0,1
ansible/ansible-examples,ansible,apache/roles/common/tasks/main.yml,0,1
ansible/ansible-examples,ansible,apache/site.yml,0,1
ansible/ansible-examples,ansible,hadoop/playbooks/job.yml,0,2
ansible/ansible-examples,ansible,hadoop/roles/common/handlers/main.yml,0,2
ansible/ansible-examples,ansible,hadoop/roles/common/tasks/common.yml,1,6
ansible/ansible-examples,ansible,hadoop/roles/common/tasks/main.yml,0,3
ansible/ansible-examples,ansible,hadoop/roles/hadoop_primary/handlers/main.yml,0,2
ansible/ansible-examples,ansible,hadoop/roles/hadoop_primary/tasks/hadoop_master.yml,0,4
ansible/ansible-examples,ansible,hadoop/roles/hadoop_primary/tasks/hadoop_master_no_ha.yml,0,4
ansible/ansible-examples,ansible,hadoop/roles/hadoop_primary/tasks/main.yml,0,4
ansible/ansible-examples,ansible,hadoop/roles/hadoop_secondary/handlers/main.yml,0,2
ansible/ansible-examples,ansible,hadoop/roles/hadoop_secondary/tasks/hadoop_secondary.yml,0,1
ansible/ansible-examples,ansible,hadoop/roles/hadoop_secondary/tasks/main.yml,1,5
ansible/ansible-examples,ansible,hadoop/roles/hadoop_slaves/handlers/main.yml,0,2
ansible/ansible-examples,ansible,hadoop/roles/hadoop_slaves/tasks/main.yml,0,3
ansible/ansible-examples,ansible,hadoop/roles/hadoop_slaves/tasks/slaves.yml,0,3
ansible/ansible-examples,ansible,hadoop/roles/qjournal_servers/handlers/main.yml,0,2
ansible/ansible-examples,ansible,hadoop/roles/qjournal_servers/tasks/main.yml,0,3
ansible/ansible-examples,ansible,hadoop/roles/zookeeper_servers/handlers/main.yml,0,2
ansible/ansible-examples,ansible,hadoop/roles/zookeeper_servers/tasks/main.yml,0,2
ansible/ansible-examples,ansible,hadoop/roles/zookeeper_servers/vars/main.yml,0,1
ansible/ansible-examples,ansible,hadoop/site.yml,0,4
ansible/ansible-examples,ansible,jboss-standalone/demo-aws-launch.yml,1,4
ansible/ansible-examples,ansible,jboss-standalone/deploy-application.yml,1,5
ansible/ansible-examples,ansible,jboss-standalone/roles/java-app/tasks/main.yml,1,8
ansible/ansible-examples,ansible,jboss-standalone/roles/jboss-standalone/handlers/main.yml,0,4
ansible/ansible-examples,ansible,jboss-standalone/roles/jboss-standalone/tasks/main.yml,1,18
ansible/ansible-examples,ansible,jboss-standalone/site.yml,0,6
ansible/ansible-examples,ansible,lamp_haproxy/add_webservers.yml,0,1
ansible/ansible-examples,ansible,lamp_haproxy/aws/demo-aws-launch.yml,0,3
ansible/ansible-examples,ansible,lamp_haproxy/aws/roles/base-apache/tasks/main.yml,1,3
ansible/ansible-examples,ansible,lamp_haproxy/aws/roles/common/handlers/main.yml,0,1
ansible/ansible-examples,ansible,lamp_haproxy/aws/roles/common/tasks/main.yml,1,2
ansible/ansible-examples,ansible,lamp_haproxy/aws/roles/db/handlers/main.yml,0,1
ansible/ansible-examples,ansible,lamp_haproxy/aws/roles/db/tasks/main.yml,1,2
ansible/ansible-examples,ansible,lamp_haproxy/aws/roles/haproxy/handlers/main.yml,0,1
ansible/ansible-examples,ansible,lamp_haproxy/aws/roles/haproxy/tasks/main.yml,1,4
ansible/ansible-examples,ansible,lamp_haproxy/aws/roles/nagios/handlers/main.yml,0,1
ansible/ansible-examples,ansible,lamp_haproxy/aws/roles/nagios/tasks/main.yml,1,3
ansible/ansible-examples,ansible,lamp_haproxy/aws/roles/web/tasks/main.yml,1,3
ansible/ansible-examples,ansible,lamp_haproxy/aws/rolling_update.yml,1,3
ansible/ansible-examples,ansible,lamp_haproxy/aws/site.yml,1,2
ansible/ansible-examples,ansible,lamp_haproxy/db.yml,0,2
ansible/ansible-examples,ansible,lamp_haproxy/haproxy.yml,0,2
ansible/ansible-examples,ansible,lamp_haproxy/nagios.yml,0,2
ansible/ansible-examples,ansible,lamp_haproxy/playbooks/add_webservers.yml,0,2
ansible/ansible-examples,ansible,lamp_haproxy/playbooks/db.yml,0,2
ansible/ansible-examples,ansible,lamp_haproxy/playbooks/haproxy.yml,0,3
ansible/ansible-examples,ansible,lamp_haproxy/playbooks/remove_webservers.yml,0,2
ansible/ansible-examples,ansible,lamp_haproxy/playbooks/rolling_update.yml,0,2
ansible/ansible-examples,ansible,lamp_haproxy/playbooks/web.yml,0,3
ansible/ansible-examples,ansible,lamp_haproxy/provision.yml,0,1
ansible/ansible-examples,ansible,lamp_haproxy/roles/base-apache/handlers/main.yml,0,1
ansible/ansible-examples,ansible,lamp_haproxy/roles/base-apache/tasks/main.yml,1,10
ansible/ansible-examples,ansible,lamp_haproxy/roles/common/handlers/main.yml,0,1
ansible/ansible-examples,ansible,lamp_haproxy/roles/common/tasks/main.yml,1,15
ansible/ansible-examples,ansible,lamp_haproxy/roles/db/handlers/main.yml,0,1
ansible/ansible-examples,ansible,lamp_haproxy/roles/db/tasks/main.yml,1,12
ansible/ansible-examples,ansible,lamp_haproxy/roles/haproxy/handlers/main.yml,0,1
ansible/ansible-examples,ansible,lamp_haproxy/roles/haproxy/tasks/main.yml,1,12
ansible/ansible-examples,ansible,lamp_haproxy/roles/nagios/handlers/main.yml,1,4
ansible/ansible-examples,ansible,lamp_haproxy/roles/nagios/tasks/main.yml,1,7
ansible/ansible-examples,ansible,lamp_haproxy/roles/web/handlers/main.yml,0,2
ansible/ansible-examples,ansible,lamp_haproxy/roles/web/tasks/add_to_lb.yml,0,3
ansible/ansible-examples,ansible,lamp_haproxy/roles/web/tasks/copy_code.yml,0,3
ansible/ansible-examples,ansible,lamp_haproxy/roles/web/tasks/install_httpd.yml,0,3
ansible/ansible-examples,ansible,lamp_haproxy/roles/web/tasks/main.yml,0,8
ansible/ansible-examples,ansible,lamp_haproxy/roles/web/tasks/remove_from_lb.yml,0,2
ansible/ansible-examples,ansible,lamp_haproxy/roles/web/tasks/rolling_update.yml,0,3
ansible/ansible-examples,ansible,lamp_haproxy/roles/web/tasks/utils.yml,0,2
ansible/ansible-examples,ansible,lamp_haproxy/rolling_update.yml,1,19
ansible/ansible-examples,ansible,lamp_haproxy/site.yml,1,15
ansible/ansible-examples,ansible,lamp_haproxy/web.yml,0,2
ansible/ansible-examples,ansible,lamp_simple/playbooks/db.yml,0,2
ansible/ansible-examples,ansible,lamp_simple/playbooks/web.yml,0,1
ansible/ansible-examples,ansible,lamp_simple/roles/common/handlers/main.yml,1,5
ansible/ansible-examples,ansible,lamp_simple/roles/common/tasks/main.yml,1,9
ansible/ansible-examples,ansible,lamp_simple/roles/db/handlers/main.yml,1,3
ansible/ansible-examples,ansible,lamp_simple/roles/db/tasks/main.yml,1,9
ansible/ansible-examples,ansible,lamp_simple/roles/web/handlers/main.yml,1,5
ansible/ansible-examples,ansible,lamp_simple/roles/web/tasks/copy_code.yml,1,6
ansible/ansible-examples,ansible,lamp_simple/roles/web/tasks/install_httpd.yml,1,8
ansible/ansible-examples,ansible,lamp_simple/roles/web/tasks/main.yml,0,1
ansible/ansible-examples,ansible,lamp_simple/site.yml,0,7
ansible/ansible-examples,ansible,lamp_simple_rhel7/roles/common/handlers/main.yml,0,2
ansible/ansible-examples,ansible,lamp_simple_rhel7/roles/common/tasks/main.yml,0,4
ansible/ansible-examples,ansible,lamp_simple_rhel7/roles/db/handlers/main.yml,0,2
ansible/ansible-examples,ansible,lamp_simple_rhel7/roles/db/tasks/main.yml,0,4
ansible/ansible-examples,ansible,lamp_simple_rhel7/roles/web/tasks/copy_code.yml,0,3
ansible/ansible-examples,ansible,lamp_simple_rhel7/roles/web/tasks/install_httpd.yml,0,3
ansible/ansible-examples,ansible,lamp_simple_rhel7/roles/web/tasks/main.yml,0,2
ansible/ansible-examples,ansible,lamp_simple_rhel7/site.yml,0,3
ansible/ansible-examples,ansible,language_features/ansible_pull.yml,0,4
ansible/ansible-examples,ansible,language_features/batch_size_control.yml,0,3
ansible/ansible-examples,ansible,language_features/cloudformation.yaml,0,1
ansible/ansible-examples,ansible,language_features/complex_args.yml,1,5
