auc_pr,mcc,f1,brier,model,experiment
0.3656982713627888,-0.04239035230312214,0.3738819320214669,0.2660686402117359,RF,Train:Others->Test:ansible
0.34060955661900477,0.13101483196515623,0.503585657370518,0.3785181412789531,XGB,Train:Others->Test:ansible
0.6410772800452834,0.21985358024950072,0.5707102451288498,0.36624245538346883,LR,Train:Others->Test:ansible
0.5369091656391664,0.007387561460887038,0.4825268817204301,0.4781350159564628,Feedforward NN,Train:Others->Test:ansible
0.329557922524909,0.08798539752626493,0.18947368421052632,0.18904796848827826,RF,Train:Others->Test:chef
0.34175339837927016,0.13437864454003284,0.3282442748091603,0.24100816948893758,XGB,Train:Others->Test:chef
0.2818498334002943,0.08731963584332401,0.35127478753541075,0.31638442321240356,LR,Train:Others->Test:chef
0.2546688265050709,0.09646157704345308,0.35014836795252224,0.29982018280295586,Feedforward NN,Train:Others->Test:chef
0.5752954798557426,0.3206184913992603,0.41304347826086957,0.18952421052631574,RF,Train:Others->Test:terraform
0.5257574503151105,0.17128260904222822,0.5,0.3004457473212071,XGB,Train:Others->Test:terraform
0.4970107683881652,0.21140515257150372,0.39215686274509803,0.2380029317199012,LR,Train:Others->Test:terraform
0.5634950123511382,0.3245349637381681,0.5333333333333333,0.21711601037874034,Feedforward NN,Train:Others->Test:terraform
